"host_response_time","host_response_rate","host_is_superhost","host_listings_count","host_total_listings_count","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","count_summary","count_description","count_space","count_neighborhood","count_notes","count_transit","count_host","count_amenities","count_total"
"within an hour",100,"f",1,1,"West Queen Anne","Queen Anne",47.63803516,-122.3609101,"Bungalow","Entire home/apt",2,1,0,1,"Real Bed",110,0,50,1,0,2,30,60,89,89,3,100,10,10,10,10,10,10,"f","moderate","f","f",1,1.06,37,141,30,43,0,23,0,14,274
"N/A",94.8888888888889,"f",1,1,"West Queen Anne","Queen Anne",47.63933159,-122.3615994,"House","Entire home/apt",4,1,1,2,"Real Bed",160,100,55,2,25,2,0,0,20,295,1,100,8,10,10,10,10,10,"f","moderate","f","f",1,0.16,35,160,45,55,33,21,29,18,378
"within an hour",100,"f",1,1,"West Queen Anne","Queen Anne",47.63530805,-122.3665317,"House","Entire home/apt",4,1,1,3,"Real Bed",130,140,75,2,25,3,30,60,89,89,26,95,10,10,9,10,10,9,"t","moderate","f","f",1,0.8,0,129,129,0,0,0,89,6,347
"within an hour",100,"f",1,1,"West Queen Anne","Queen Anne",47.63737488,-122.3694109,"House","Entire home/apt",2,1,0,1,"Real Bed",99,0,50,2,50,1,25,51,81,142,2,100,10,10,10,10,10,10,"f","moderate","f","f",1,2,41,51,10,0,0,0,0,18,102
"within an hour",100,"f",1,1,"West Queen Anne","Queen Anne",47.63829757,-122.3737787,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",100,0,40,1,0,1,0,15,29,29,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,50,50,0,0,0,0,0,5,100
"N/A",94.8888888888889,"f",2,2,"West Queen Anne","Queen Anne",47.63175344,-122.3712717,"Apartment","Entire home/apt",3,1,1,1,"Futon",137,0,20,2,20,2,0,0,28,303,3,100,10,10,10,10,10,10,"t","moderate","f","f",2,0.64,42,192,106,92,63,39,59,13,593
"N/A",94.8888888888889,"f",1,1,"West Queen Anne","Queen Anne",47.63858056,-122.3753257,"Apartment","Private room",3,1,1,1,"Real Bed",20,0,0,1,0,1,18,46,76,351,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,51,51,0,0,0,0,0,12,102
"within a few hours",100,"f",1,1,"West Queen Anne","Queen Anne",47.63788372,-122.3673711,"Townhouse","Entire home/apt",2,1.5,1,1,"Real Bed",150,500,50,2,30,4,0,0,0,212,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,36,165,18,168,30,45,29,17,491
"within an hour",100,"f",1,1,"West Queen Anne","Queen Anne",47.63751735,-122.3608117,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",145,100,30,2,10,2,15,39,69,331,44,94,10,10,10,10,10,9,"f","moderate","f","f",1,5.64,44,160,28,112,59,109,40,16,552
"within a day",70,"f",1,1,"West Queen Anne","Queen Anne",47.63687418,-122.3722717,"Townhouse","Private room",2,1,1,1,"Futon",80,0,0,1,0,1,30,60,90,364,10,100,10,10,10,10,10,10,"f","flexible","f","f",1,2.5,45,191,71,67,0,27,69,12,470
"N/A",94.8888888888889,"f",1,1,"West Queen Anne","Queen Anne",47.63532192,-122.3661211,"House","Entire home/apt",4,2.5,3,3,"Real Bed",400,750,120,4,20,2,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0,19,54,0,26,0,6,0,12,105
"within a day",100,"f",1,1,"West Queen Anne","Queen Anne",47.63263391,-122.3693184,"House","Private room",2,2,1,1,"Real Bed",85,0,0,1,0,2,0,0,0,247,2,100,10,10,10,10,10,10,"f","moderate","f","f",1,1.3,46,96,31,0,0,0,0,12,173
"N/A",94.8888888888889,"f",2,2,"West Queen Anne","Queen Anne",47.63260004,-122.3699524,"Apartment","Private room",2,1,1,1,"Futon",70,0,20,1,0,1,0,0,0,103,1,100,10,10,10,10,10,10,"f","flexible","f","f",2,0.25,92,196,164,47,0,25,59,17,583
"within a few hours",100,"f",1,1,"West Queen Anne","Queen Anne",47.63140095,-122.3676901,"House","Private room",2,1,1,1,"Real Bed",80,0,0,2,15,1,29,59,89,345,52,92,9,9,10,10,10,9,"f","flexible","f","f",1,7.06,36,168,39,51,33,28,43,10,398
"within an hour",67,"f",1,1,"West Queen Anne","Queen Anne",47.6353107,-122.3635056,"House","Entire home/apt",4,1,2,2,"Real Bed",175,250,78,4,50,1,30,48,48,48,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0,42,173,179,62,0,12,9,10,477
"within an hour",100,"f",1,1,"Adams","Ballard",47.66932717,-122.3925936,"House","Entire home/apt",6,2.5,3,4,"Real Bed",170,250,100,6,100,4,23,25,25,27,9,91,9,9,10,10,10,9,"f","strict","f","f",1,1.82,48,176,28,5,0,35,3,20,295
"within an hour",100,"f",1,1,"Adams","Ballard",47.67407416,-122.3938641,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",85,0,50,2,20,3,20,45,75,347,65,98,10,10,10,10,10,10,"t","moderate","f","f",1,3.94,40,180,84,38,45,39,72,17,498
"within a few hours",100,"f",1,1,"Adams","Ballard",47.66845996,-122.379516,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",175,250,50,1,0,1,0,0,0,94,5,96,10,10,10,10,10,9,"f","flexible","f","f",1,1.01,39,176,93,95,11,37,15,10,466
"within an hour",100,"f",1,1,"Adams","Ballard",47.67066232,-122.3786659,"Condominium","Private room",2,1,1,1,"Real Bed",50,0,0,0,0,1,20,50,80,355,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,38,170,84,0,27,0,35,17,354
"N/A",94.8888888888889,"f",1,1,"Adams","Ballard",47.67264618,-122.389333,"Apartment","Private room",2,1,1,1,"Real Bed",60,0,0,1,0,1,0,0,0,166,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,46,46,0,0,0,0,0,0,92
"within a few hours",100,"f",1,1,"Adams","Ballard",47.67317538,-122.3822596,"House","Private room",2,1,1,1,"Pull-out Sofa",59,0,12,1,0,1,25,55,85,360,16,93,9,10,10,10,10,10,"f","flexible","f","f",1,3.29,47,180,86,28,37,40,38,20,456
"within an hour",90,"f",1,1,"Adams","Ballard",47.667933,-122.3786525,"Apartment","Private room",4,1,1,4,"Real Bed",47,200,15,2,10,1,30,60,89,89,23,77,8,8,9,9,9,8,"f","strict","f","t",1,3.07,44,173,107,86,197,31,76,18,714
"within a day",100,"f",1,1,"Adams","Ballard",47.67296864,-122.3973382,"House","Entire home/apt",4,1,2,2,"Real Bed",145,100,45,4,30,2,29,59,88,88,45,97,9,9,10,10,10,9,"f","moderate","t","t",1,1.44,38,180,187,104,0,33,83,12,625
"within a few hours",100,"f",1,1,"Adams","Ballard",47.66862742,-122.3894959,"House","Private room",2,1,1,1,"Futon",70,0,0,1,0,1,10,38,68,343,75,94,10,9,10,10,10,10,"f","flexible","f","f",1,3.46,40,176,23,55,11,13,28,8,346
"within an hour",100,"f",1,1,"Adams","Ballard",47.67011138,-122.3938693,"House","Private room",2,1,1,1,"Real Bed",55,100,25,1,10,2,15,43,73,348,86,94,9,10,10,10,10,10,"f","moderate","f","f",1,4.43,42,191,116,123,56,154,131,13,813
"within an hour",100,"f",1,1,"Adams","Ballard",47.67083618,-122.3925371,"House","Private room",2,1,1,1,"Real Bed",125,0,0,1,0,1,26,49,79,345,6,92,10,10,10,10,10,8,"t","flexible","f","f",1,0.38,40,148,31,77,0,0,0,12,296
"within an hour",100,"f",3,3,"Adams","Ballard",47.67088677,-122.3930293,"House","Private room",2,1,1,1,"Real Bed",65,0,45,1,0,1,21,49,79,354,16,94,10,10,10,10,10,10,"f","moderate","f","f",3,3.75,44,185,75,72,0,69,58,11,503
"within an hour",100,"f",3,3,"Adams","Ballard",47.67011497,-122.3929944,"House","Private room",1,1,1,1,"Pull-out Sofa",25,0,0,1,0,1,0,0,0,55,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",3,0,4,4,0,0,0,0,58,5,66
"within an hour",100,"f",1,1,"Adams","Ballard",47.67430793,-122.3767423,"House","Entire home/apt",4,1,0,2,"Real Bed",40,500,50,2,10,5,0,0,0,48,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,15,186,132,46,25,51,58,16,513
"within an hour",100,"f",4,4,"Adams","Ballard",47.67125039,-122.3826391,"House","Entire home/apt",6,1,3,4,"Real Bed",149,0,0,4,20,1,27,49,79,354,165,95,9,10,10,10,10,9,"t","moderate","f","f",2,7.84,40,196,200,139,119,65,119,23,878
"within a day",67,"f",3,3,"Adams","Ballard",47.67180552,-122.3880471,"House","Private room",2,0.5,1,1,"Real Bed",55,0,0,1,0,1,0,0,0,247,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",2,0,44,44,0,0,0,0,62,12,150
"N/A",94.8888888888889,"f",1,1,"Adams","Ballard",47.66874895,-122.38387,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",100,0,0,1,0,1,0,0,0,199,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,37,181,33,79,29,61,0,10,420
"N/A",94.8888888888889,"f",1,1,"Adams","Ballard",47.66968185,-122.3909885,"Townhouse","Private room",1,1,1,1,"Real Bed",50,500,10,1,20,1,28,58,88,363,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,28,28,0,0,0,0,58,11,114
"within a few hours",100,"f",1,1,"Adams","Ballard",47.67504404,-122.3827149,"Apartment","Entire home/apt",6,1,2,3,"Real Bed",99,200,0,4,0,5,0,0,0,2,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","moderate","f","f",1,0,44,175,30,53,0,25,345,18,672
"within a day",100,"f",1,1,"Adams","Ballard",47.66797917,-122.3821054,"Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",150,0,60,2,50,2,4,30,60,335,9,98,10,10,10,10,9,9,"f","strict","f","f",1,0.3,0,181,153,29,0,12,33,6,408
"within a day",67,"f",3,3,"Adams","Ballard",47.67324985,-122.3873317,"Bungalow","Entire home/apt",4,1,1,3,"Real Bed",105,0,0,1,0,2,17,17,17,17,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",2,0,42,140,26,0,0,19,62,10,289
"within a day",100,"f",2,2,"Adams","Ballard",47.67553327,-122.376324,"House","Entire home/apt",7,4,3,3,"Real Bed",218,750,300,4,15,14,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,0,151,151,23,36,71,361,14,793
"within a few hours",100,"f",1,1,"Adams","Ballard",47.67570811,-122.3875594,"House","Entire home/apt",5,1.5,2,2,"Real Bed",80,200,75,1,0,1,13,13,13,80,88,95,10,10,10,10,9,9,"f","moderate","f","f",1,6.07,37,157,160,93,35,50,27,12,559
"within an hour",67,"f",1,1,"Adams","Ballard",47.67477103,-122.3858305,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",126,300,95,2,25,2,28,28,28,275,10,98,9,10,10,10,10,9,"f","moderate","f","f",1,1.75,44,180,140,113,114,57,0,15,648
"within an hour",100,"f",1,1,"Adams","Ballard",47.66987432,-122.3877174,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",115,500,50,2,50,1,30,49,56,56,5,96,10,10,10,10,9,10,"f","strict","f","f",1,0.82,37,37,0,0,0,0,0,18,74
"within a day",100,"f",1,1,"Adams","Ballard",47.67097576,-122.3878253,"Apartment","Entire home/apt",4,2,2,2,"Real Bed",225,0,75,1,0,2,30,60,90,365,10,98,10,10,10,10,10,9,"f","flexible","f","f",1,0.64,42,171,176,174,0,39,87,15,689
"within a day",88,"f",36,36,"Adams","Ballard",47.67100489,-122.3813814,"House","Entire home/apt",8,2.5,3,5,"Real Bed",225,0,264,1,0,3,21,48,78,331,1,100,10,10,10,10,8,10,"f","strict","t","t",31,0.11,31,166,167,143,85,2,11,14,605
"N/A",94.8888888888889,"f",1,1,"Adams","Ballard",47.67170353,-122.3763381,"House","Entire home/apt",1,1,0,1,"Real Bed",50,0,0,1,0,1,1,31,60,60,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,39,39,0,0,0,0,0,9,78
"N/A",94.8888888888889,"f",1,1,"Adams","Ballard",47.67481867,-122.3875212,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",75,0,100,1,0,3,0,0,0,94,2,80,9,10,10,10,10,9,"f","moderate","f","f",1,0.62,40,185,56,175,0,67,0,12,523
"within a few hours",90,"f",1,1,"Adams","Ballard",47.67300401,-122.3850048,"House","Private room",2,1,1,1,"Real Bed",65,0,0,2,15,1,29,59,89,364,46,97,10,10,10,10,10,10,"t","moderate","f","f",1,6.87,45,183,186,181,0,0,101,19,696
"within an hour",100,"f",2,2,"Adams","Ballard",47.67039453,-122.393897,"House","Entire home/apt",6,2.5,3,4,"Real Bed",375,300,100,1,0,1,28,58,88,363,23,96,10,10,10,10,10,9,"f","moderate","f","f",1,3.75,37,170,87,33,0,6,131,16,464
"within a day",50,"f",1,1,"Adams","Ballard",47.67575024,-122.3765799,"House","Entire home/apt",6,1.5,3,4,"Real Bed",197,0,180,1,0,4,30,60,90,364,1,100,8,10,10,10,10,8,"t","strict","f","f",1,0.09,42,187,110,50,4,20,0,15,413
"within an hour",100,"f",2,2,"Adams","Ballard",47.67550084,-122.3889063,"Apartment","Entire home/apt",5,2,2,2,"Real Bed",135,100,50,4,15,1,19,19,19,266,5,100,10,10,10,10,10,10,"t","moderate","f","f",2,3.95,41,184,51,171,0,68,0,17,515
"within a day",100,"f",1,1,"Adams","Ballard",47.66780059,-122.3883002,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",150,250,30,1,0,2,22,52,82,357,7,97,8,10,10,10,10,9,"f","flexible","f","f",1,1.37,46,120,14,44,0,16,0,9,240
"within a day",80,"f",1,1,"Adams","Ballard",47.66937129,-122.3762878,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",200,0,50,1,0,2,30,60,89,89,4,95,10,9,10,10,10,10,"t","moderate","f","f",1,0.83,44,184,66,38,0,0,0,14,332
"within an hour",100,"f",3,3,"Adams","Ballard",47.66896088,-122.3938769,"Townhouse","Private room",2,1,1,1,"Real Bed",60,0,55,1,0,1,15,43,45,47,16,98,10,10,10,10,10,10,"f","moderate","f","f",3,3.87,43,181,63,72,0,69,58,11,486
"N/A",94.8888888888889,"f",1,1,"Adams","Ballard",47.67168771,-122.3925586,"House","Entire home/apt",5,3,3,5,"Real Bed",180,0,150,1,0,5,30,60,90,365,1,100,10,10,10,10,10,10,"f","strict","f","f",1,1,38,100,6,22,3,5,49,12,223
"within an hour",100,"f",1,1,"Adams","Ballard",47.67180998,-122.3834372,"Apartment","Private room",3,1,1,1,"Real Bed",69,0,0,2,15,1,1,4,34,114,8,100,10,10,10,10,10,10,"f","moderate","f","f",1,3.38,40,178,186,0,68,0,0,22,472
